,Canada,Ukraine,Panama,Luxembourg,Bahamas,Gibraltar,Ireland,Seychelles,Venezuela,Ecuador,Israel,Singapore,Norway,Guatemala,China,Cook Islands,Jordan,Belize,Hong Kong,Spain,Not identified,Cayman Islands,Mauritius,Liechtenstein,Latvia,British Virgin Islands,Malta,Guernsey,Monaco,Switzerland,Russia,Jersey,United States,Isle of Man,Samoa,Estonia,Portugal,Uruguay,United Arab Emirates,South Africa,United Kingdom,Malaysia,Colombia,Greece,Taiwan,Cyprus,Czech Republic,Peru,Chile,Indonesia
Canada,16.0,24.0,144.0,72.0,56.0,24.0,8.0,16.0,8.0,24.0,8.0,40.0,16.0,8.0,48.0,8.0,16.0,32.0,424.0,8.0,224.0,24.0,16.0,16.0,32.0,712.0,8.0,48.0,16.0,312.0,136.0,128.0,32.0,64.0,80.0,24.0,8.0,56.0,64.0,8.0,232.0,8.0,16.0,8.0,8.0,40.0,0.0,0.0,0.0,0.0
Ukraine,6.0,9.0,54.0,27.0,21.0,9.0,3.0,6.0,3.0,9.0,3.0,15.0,6.0,3.0,18.0,3.0,6.0,12.0,159.0,3.0,84.0,9.0,6.0,6.0,12.0,267.0,3.0,18.0,6.0,117.0,51.0,48.0,12.0,24.0,30.0,9.0,3.0,21.0,24.0,3.0,87.0,3.0,6.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0
Panama,16.0,24.0,144.0,72.0,56.0,24.0,8.0,16.0,8.0,24.0,8.0,40.0,16.0,8.0,48.0,8.0,16.0,32.0,424.0,8.0,224.0,24.0,16.0,16.0,32.0,712.0,8.0,48.0,16.0,312.0,136.0,128.0,32.0,64.0,80.0,24.0,8.0,56.0,64.0,8.0,232.0,8.0,16.0,8.0,8.0,40.0,0.0,0.0,0.0,0.0
Luxembourg,34.0,51.0,306.0,153.0,119.0,51.0,17.0,34.0,17.0,51.0,17.0,85.0,34.0,17.0,102.0,17.0,34.0,68.0,901.0,17.0,476.0,51.0,34.0,34.0,68.0,1513.0,17.0,102.0,34.0,663.0,289.0,272.0,68.0,136.0,170.0,51.0,17.0,119.0,136.0,17.0,493.0,17.0,34.0,17.0,17.0,85.0,0.0,0.0,0.0,0.0
Bahamas,8.0,12.0,72.0,36.0,28.0,12.0,4.0,8.0,4.0,12.0,4.0,20.0,8.0,4.0,24.0,4.0,8.0,16.0,212.0,4.0,112.0,12.0,8.0,8.0,16.0,356.0,4.0,24.0,8.0,156.0,68.0,64.0,16.0,32.0,40.0,12.0,4.0,28.0,32.0,4.0,116.0,4.0,8.0,4.0,4.0,20.0,0.0,0.0,0.0,0.0
Gibraltar,6.0,9.0,54.0,27.0,21.0,9.0,3.0,6.0,3.0,9.0,3.0,15.0,6.0,3.0,18.0,3.0,6.0,12.0,159.0,3.0,84.0,9.0,6.0,6.0,12.0,267.0,3.0,18.0,6.0,117.0,51.0,48.0,12.0,24.0,30.0,9.0,3.0,21.0,24.0,3.0,87.0,3.0,6.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0
Ireland,2.0,3.0,18.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,53.0,1.0,28.0,3.0,2.0,2.0,4.0,89.0,1.0,6.0,2.0,39.0,17.0,16.0,4.0,8.0,10.0,3.0,1.0,7.0,8.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
Seychelles,4.0,6.0,36.0,18.0,14.0,6.0,2.0,4.0,2.0,6.0,2.0,10.0,4.0,2.0,12.0,2.0,4.0,8.0,106.0,2.0,56.0,6.0,4.0,4.0,8.0,178.0,2.0,12.0,4.0,78.0,34.0,32.0,8.0,16.0,20.0,6.0,2.0,14.0,16.0,2.0,58.0,2.0,4.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0
Venezuela,2.0,3.0,18.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,53.0,1.0,28.0,3.0,2.0,2.0,4.0,89.0,1.0,6.0,2.0,39.0,17.0,16.0,4.0,8.0,10.0,3.0,1.0,7.0,8.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
Ecuador,6.0,9.0,54.0,27.0,21.0,9.0,3.0,6.0,3.0,9.0,3.0,15.0,6.0,3.0,18.0,3.0,6.0,12.0,159.0,3.0,84.0,9.0,6.0,6.0,12.0,267.0,3.0,18.0,6.0,117.0,51.0,48.0,12.0,24.0,30.0,9.0,3.0,21.0,24.0,3.0,87.0,3.0,6.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0
Israel,2.0,3.0,18.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,53.0,1.0,28.0,3.0,2.0,2.0,4.0,89.0,1.0,6.0,2.0,39.0,17.0,16.0,4.0,8.0,10.0,3.0,1.0,7.0,8.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
Singapore,26.0,39.0,234.0,117.0,91.0,39.0,13.0,26.0,13.0,39.0,13.0,65.0,26.0,13.0,78.0,13.0,26.0,52.0,689.0,13.0,364.0,39.0,26.0,26.0,52.0,1157.0,13.0,78.0,26.0,507.0,221.0,208.0,52.0,104.0,130.0,39.0,13.0,91.0,104.0,13.0,377.0,13.0,26.0,13.0,13.0,65.0,0.0,0.0,0.0,0.0
Norway,4.0,6.0,36.0,18.0,14.0,6.0,2.0,4.0,2.0,6.0,2.0,10.0,4.0,2.0,12.0,2.0,4.0,8.0,106.0,2.0,56.0,6.0,4.0,4.0,8.0,178.0,2.0,12.0,4.0,78.0,34.0,32.0,8.0,16.0,20.0,6.0,2.0,14.0,16.0,2.0,58.0,2.0,4.0,2.0,2.0,10.0,0.0,0.0,0.0,0.0
Guatemala,2.0,3.0,18.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,53.0,1.0,28.0,3.0,2.0,2.0,4.0,89.0,1.0,6.0,2.0,39.0,17.0,16.0,4.0,8.0,10.0,3.0,1.0,7.0,8.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
China,10.0,15.0,90.0,45.0,35.0,15.0,5.0,10.0,5.0,15.0,5.0,25.0,10.0,5.0,30.0,5.0,10.0,20.0,265.0,5.0,140.0,15.0,10.0,10.0,20.0,445.0,5.0,30.0,10.0,195.0,85.0,80.0,20.0,40.0,50.0,15.0,5.0,35.0,40.0,5.0,145.0,5.0,10.0,5.0,5.0,25.0,0.0,0.0,0.0,0.0
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hong Kong,174.0,261.0,1566.0,783.0,609.0,261.0,87.0,174.0,87.0,261.0,87.0,435.0,174.0,87.0,522.0,87.0,174.0,348.0,4611.0,87.0,2436.0,261.0,174.0,174.0,348.0,7743.0,87.0,522.0,174.0,3393.0,1479.0,1392.0,348.0,696.0,870.0,261.0,87.0,609.0,696.0,87.0,2523.0,87.0,174.0,87.0,87.0,435.0,0.0,0.0,0.0,0.0
Spain,2.0,3.0,18.0,9.0,7.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,2.0,1.0,6.0,1.0,2.0,4.0,53.0,1.0,28.0,3.0,2.0,2.0,4.0,89.0,1.0,6.0,2.0,39.0,17.0,16.0,4.0,8.0,10.0,3.0,1.0,7.0,8.0,1.0,29.0,1.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
Not identified,14.0,21.0,126.0,63.0,49.0,21.0,7.0,14.0,7.0,21.0,7.0,35.0,14.0,7.0,42.0,7.0,14.0,28.0,371.0,7.0,196.0,21.0,14.0,14.0,28.0,623.0,7.0,42.0,14.0,273.0,119.0,112.0,28.0,56.0,70.0,21.0,7.0,49.0,56.0,7.0,203.0,7.0,14.0,7.0,7.0,35.0,0.0,0.0,0.0,0.0
