,id_guest,id_host,id_listing,ts_interaction_first,m_first_message_length,ab,acceptance,message_length_level
5913,5213,2375,4027,2013-01-01 16:08:00,180.0,0,1,18.0
8954,6895,3427,1904,2013-01-01 23:30:00,88.0,0,1,8.0
5914,567,1050,3050,2013-01-02 02:27:00,312.0,0,0,31.0
2,4115,1982,2982,2013-01-02 02:30:00,278.0,0,1,27.0
5915,5245,1943,1674,2013-01-02 03:24:00,134.0,0,0,13.0
3,368,321,1987,2013-01-02 03:24:00,785.0,0,0,78.0
8956,8659,1146,830,2013-01-02 04:51:00,1099.0,0,1,109.0
8957,8578,549,3433,2013-01-02 05:04:00,557.0,0,0,55.0
4,4000,798,2620,2013-01-02 07:11:00,69.0,0,1,6.0
5,9058,1853,3032,2013-01-02 13:29:00,623.0,0,0,62.0
7,6993,1632,3462,2013-01-02 14:03:00,287.0,0,0,28.0
8,2439,429,704,2013-01-02 16:49:00,1033.0,0,0,103.0
5916,8525,3459,2015,2013-01-02 18:46:00,475.0,0,0,47.0
5645,1031,1977,2622,2013-01-02 21:00:00,0.0,0,1,0.0
11,8511,2351,3544,2013-01-02 22:02:00,153.0,0,0,15.0
2956,9010,2075,1650,2013-01-02 23:57:00,375.0,0,0,37.0
8960,5298,1456,2148,2013-01-03 00:31:00,799.0,0,1,79.0
13,6213,3271,3269,2013-01-03 02:48:00,327.0,0,0,32.0
8963,4907,1316,1704,2013-01-03 10:55:00,244.0,0,0,24.0
5919,4907,52,841,2013-01-03 11:13:00,293.0,0,0,29.0
14,4815,2322,3141,2013-01-03 11:57:00,712.0,0,1,71.0
15,4203,3156,3419,2013-01-03 16:48:00,146.0,0,0,14.0
16,6354,1050,3050,2013-01-03 16:58:00,254.0,0,0,25.0
19,4002,1585,2212,2013-01-03 21:42:00,381.0,0,1,38.0
2959,4949,1674,248,2013-01-04 00:18:00,49.0,0,0,4.0
8965,7508,2789,1096,2013-01-04 05:10:00,369.0,0,1,36.0
5923,9063,1623,2443,2013-01-04 13:28:00,256.0,0,0,25.0
2962,1265,2022,2913,2013-01-04 15:42:00,451.0,0,0,45.0
5924,5146,2741,1989,2013-01-04 19:11:00,113.0,0,0,11.0
5927,6369,707,3890,2013-01-04 20:25:00,466.0,0,0,46.0
8966,4701,2497,2161,2013-01-04 23:37:00,235.0,0,0,23.0
2964,6107,1050,1070,2013-01-05 00:03:00,69.0,0,0,6.0
2966,4864,2566,1147,2013-01-05 07:15:00,563.0,0,0,56.0
2967,4547,1162,2093,2013-01-05 07:24:00,135.0,0,0,13.0
8967,171,75,1528,2013-01-05 10:18:00,285.0,0,0,28.0
8968,8871,2937,3581,2013-01-05 13:40:00,369.0,0,0,36.0
2968,1922,73,1881,2013-01-05 23:47:00,634.0,0,1,63.0
2701,7797,2302,1840,2013-01-06 00:55:00,0.0,0,1,0.0
26,3853,1658,2239,2013-01-06 02:52:00,434.0,0,0,43.0
5931,8641,258,1155,2013-01-06 08:20:00,186.0,0,1,18.0
27,653,1933,3169,2013-01-06 10:52:00,542.0,0,0,54.0
5932,3641,2239,2429,2013-01-06 15:23:00,59.0,0,1,5.0
8971,1333,2430,4357,2013-01-07 07:52:00,607.0,0,1,60.0
30,5496,3132,1688,2013-01-07 14:18:00,311.0,0,0,31.0
2970,7301,10,2705,2013-01-07 18:00:00,734.0,0,1,73.0
8972,6498,702,1470,2013-01-07 18:33:00,407.0,0,0,40.0
8973,2770,209,2069,2013-01-07 18:35:00,616.0,0,1,61.0
5650,1927,2905,4005,2013-01-07 20:08:00,0.0,0,1,0.0
8974,2181,49,1000,2013-01-07 21:24:00,115.0,0,1,11.0
5936,8176,10,1270,2013-01-07 23:04:00,416.0,0,0,41.0
2971,8671,2428,4387,2013-01-08 04:55:00,492.0,0,0,49.0
5938,6592,648,269,2013-01-08 11:19:00,651.0,0,1,65.0
2702,2033,430,3336,2013-01-08 11:45:00,0.0,0,0,0.0
31,8744,356,2767,2013-01-08 17:14:00,518.0,0,1,51.0
8978,3544,1864,4339,2013-01-08 20:30:00,355.0,0,0,35.0
8980,6836,3626,3722,2013-01-09 03:48:00,109.0,0,0,10.0
35,7163,1853,3032,2013-01-09 03:52:00,280.0,0,0,28.0
2974,8532,52,841,2013-01-09 04:31:00,105.0,0,0,10.0
5942,1732,2101,3384,2013-01-09 17:41:00,627.0,0,1,62.0
5944,8416,49,1000,2013-01-09 18:35:00,37.0,0,1,3.0
8710,1998,937,152,2013-01-09 19:28:00,0.0,0,0,0.0
