,ab,acceptance,id_guest,id_host,id_listing,m_first_message_length,message_length_level,ts_interaction_first,week_of_year,month,day_of_week
5913,0,Control 1,5213,2375,4027,180.0,220.0,2013-01-01 16:08:00,1,1,1
0,1,Treatment 0,8839,974,4424,230.0,220.0,2013-01-01 23:04:00,1,1,1
8954,0,Control 1,6895,3427,1904,88.0,70.0,2013-01-01 23:30:00,1,1,1
8955,1,Treatment 0,1930,2654,1962,149.0,220.0,2013-01-01 23:35:00,1,1,1
5914,0,Control 0,567,1050,3050,312.0,400.0,2013-01-02 02:27:00,1,1,2
2,0,Control 1,4115,1982,2982,278.0,220.0,2013-01-02 02:30:00,1,1,2
5915,0,Control 0,5245,1943,1674,134.0,70.0,2013-01-02 03:24:00,1,1,2
3,0,Control 0,368,321,1987,785.0,875.0,2013-01-02 03:24:00,1,1,2
8956,0,Control 1,8659,1146,830,1099.0,1500.0,2013-01-02 04:51:00,1,1,2
8957,0,Control 0,8578,549,3433,557.0,625.0,2013-01-02 05:04:00,1,1,2
8958,1,Treatment 0,2850,2895,2752,380.0,400.0,2013-01-02 06:23:00,1,1,2
2954,1,Treatment 1,4000,2915,3217,513.0,625.0,2013-01-02 06:49:00,1,1,2
5,0,Control 0,9058,1853,3032,623.0,625.0,2013-01-02 13:29:00,1,1,2
6,1,Treatment 0,1533,2425,469,144.0,140.0,2013-01-02 13:42:00,1,1,2
7,0,Control 0,6993,1632,3462,287.0,220.0,2013-01-02 14:03:00,1,1,2
2955,1,Treatment 1,6222,2378,3777,464.0,400.0,2013-01-02 14:52:00,1,1,2
8,0,Control 0,2439,429,704,1033.0,1500.0,2013-01-02 16:49:00,1,1,2
5916,0,Control 0,8525,3459,2015,475.0,400.0,2013-01-02 18:46:00,1,1,2
9,1,Treatment 0,6920,2862,1979,390.0,400.0,2013-01-02 19:56:00,1,1,2
5645,0,Control 1,1031,1977,2622,0.0,0.0,2013-01-02 21:00:00,1,1,2
10,1,Treatment 1,4419,1950,1855,205.0,220.0,2013-01-02 21:21:00,1,1,2
11,0,Control 0,8511,2351,3544,153.0,220.0,2013-01-02 22:02:00,1,1,2
12,1,Treatment 1,5684,73,1881,365.0,400.0,2013-01-02 22:15:00,1,1,2
2956,0,Control 0,9010,2075,1650,375.0,400.0,2013-01-02 23:57:00,1,1,2
2957,1,Treatment 0,5201,709,2116,241.0,220.0,2013-01-03 00:12:00,1,1,3
8960,0,Control 1,5298,1456,2148,799.0,875.0,2013-01-03 00:31:00,1,1,3
8961,1,Treatment 0,5861,2050,2685,530.0,625.0,2013-01-03 02:32:00,1,1,3
13,0,Control 0,6213,3271,3269,327.0,400.0,2013-01-03 02:48:00,1,1,3
5918,1,Treatment 1,1927,2905,4005,239.0,220.0,2013-01-03 10:36:00,1,1,3
8963,0,Control 0,4907,1316,1704,244.0,220.0,2013-01-03 10:55:00,1,1,3
14,0,Control 1,4815,2322,3141,712.0,625.0,2013-01-03 11:57:00,1,1,3
5920,1,Treatment 1,5175,733,1363,410.0,400.0,2013-01-03 16:40:00,1,1,3
15,0,Control 0,4203,3156,3419,146.0,220.0,2013-01-03 16:48:00,1,1,3
16,0,Control 0,6354,1050,3050,254.0,220.0,2013-01-03 16:58:00,1,1,3
17,1,Treatment 1,8449,2322,2205,201.0,220.0,2013-01-03 21:12:00,1,1,3
19,0,Control 1,4002,1585,2212,381.0,400.0,2013-01-03 21:42:00,1,1,3
5646,1,Treatment 1,2521,544,1950,150.0,220.0,2013-01-03 22:01:00,1,1,3
8964,1,Treatment 1,2511,2306,1800,768.0,875.0,2013-01-03 23:14:00,1,1,3
2959,0,Control 0,4949,1674,248,49.0,70.0,2013-01-04 00:18:00,1,1,4
20,1,Treatment 1,2585,1128,3983,345.0,400.0,2013-01-04 03:39:00,1,1,4
5921,1,Treatment 0,6995,2358,2252,332.0,400.0,2013-01-04 05:00:00,1,1,4
8965,0,Control 1,7508,2789,1096,369.0,400.0,2013-01-04 05:10:00,1,1,4
2960,1,Treatment 1,1091,1325,3874,334.0,400.0,2013-01-04 06:37:00,1,1,4
2961,1,Treatment 0,1509,1679,1168,727.0,625.0,2013-01-04 07:29:00,1,1,4
5922,1,Treatment 0,348,109,715,302.0,400.0,2013-01-04 07:53:00,1,1,4
5923,0,Control 0,9063,1623,2443,256.0,220.0,2013-01-04 13:28:00,1,1,4
2962,0,Control 0,1265,2022,2913,451.0,400.0,2013-01-04 15:42:00,1,1,4
5647,1,Treatment 0,2060,2281,1985,160.0,220.0,2013-01-04 17:49:00,1,1,4
5924,0,Control 0,5146,2741,1989,113.0,70.0,2013-01-04 19:11:00,1,1,4
5925,1,Treatment 0,4677,2892,2392,215.0,220.0,2013-01-04 19:56:00,1,1,4
5926,1,Treatment 0,9073,1886,181,273.0,220.0,2013-01-04 20:10:00,1,1,4
5927,0,Control 0,6369,707,3890,466.0,400.0,2013-01-04 20:25:00,1,1,4
8706,1,Treatment 1,3128,479,2406,140.0,140.0,2013-01-04 21:48:00,1,1,4
8966,0,Control 0,4701,2497,2161,235.0,220.0,2013-01-04 23:37:00,1,1,4
2964,0,Control 0,6107,1050,1070,69.0,70.0,2013-01-05 00:03:00,1,1,5
22,1,Treatment 1,5514,209,942,272.0,220.0,2013-01-05 00:07:00,1,1,5
2966,0,Control 0,4864,2566,1147,563.0,625.0,2013-01-05 07:15:00,1,1,5
2967,0,Control 0,4547,1162,2093,135.0,70.0,2013-01-05 07:24:00,1,1,5
8707,1,Treatment 1,2119,133,1691,140.0,140.0,2013-01-05 09:18:00,1,1,5
8967,0,Control 0,171,75,1528,285.0,220.0,2013-01-05 10:18:00,1,1,5
8968,0,Control 0,8871,2937,3581,369.0,400.0,2013-01-05 13:40:00,1,1,5
23,1,Treatment 0,446,1756,954,401.0,400.0,2013-01-05 16:17:00,1,1,5
24,1,Treatment 0,8050,3658,3959,354.0,400.0,2013-01-05 17:40:00,1,1,5
5648,1,Treatment 0,2254,782,804,140.0,140.0,2013-01-05 18:31:00,1,1,5
25,1,Treatment 0,2269,1273,1223,501.0,625.0,2013-01-05 18:31:00,1,1,5
8969,1,Treatment 1,5400,158,814,351.0,400.0,2013-01-05 19:56:00,1,1,5
5928,1,Treatment 0,841,372,3334,261.0,220.0,2013-01-05 22:45:00,1,1,5
2968,0,Control 1,1922,73,1881,634.0,625.0,2013-01-05 23:47:00,1,1,5
2701,0,Control 1,7797,2302,1840,0.0,0.0,2013-01-06 00:55:00,1,1,6
26,0,Control 0,3853,1658,2239,434.0,400.0,2013-01-06 02:52:00,1,1,6
5929,1,Treatment 0,4106,2143,2761,307.0,400.0,2013-01-06 04:38:00,1,1,6
5930,1,Treatment 0,408,3488,2953,317.0,400.0,2013-01-06 04:58:00,1,1,6
5931,0,Control 1,8641,258,1155,186.0,220.0,2013-01-06 08:20:00,1,1,6
27,0,Control 0,653,1933,3169,542.0,625.0,2013-01-06 10:52:00,1,1,6
5932,0,Control 1,3641,2239,2429,59.0,70.0,2013-01-06 15:23:00,1,1,6
2969,1,Treatment 0,6311,819,4238,240.0,220.0,2013-01-06 19:59:00,1,1,6
28,1,Treatment 1,1034,2203,4172,392.0,400.0,2013-01-06 20:35:00,1,1,6
8970,1,Treatment 1,189,3430,1399,306.0,400.0,2013-01-07 03:06:00,2,1,0
29,1,Treatment 1,389,2599,2679,328.0,400.0,2013-01-07 05:20:00,2,1,0
8971,0,Control 1,1333,2430,4357,607.0,625.0,2013-01-07 07:52:00,2,1,0
5933,1,Treatment 0,5496,142,1689,319.0,400.0,2013-01-07 14:11:00,2,1,0
8709,1,Treatment 1,4144,1713,1899,140.0,140.0,2013-01-07 17:52:00,2,1,0
2970,0,Control 1,7301,10,2705,734.0,625.0,2013-01-07 18:00:00,2,1,0
8972,0,Control 0,6498,702,1470,407.0,400.0,2013-01-07 18:33:00,2,1,0
8973,0,Control 1,2770,209,2069,616.0,625.0,2013-01-07 18:35:00,2,1,0
5934,1,Treatment 1,197,771,4305,597.0,625.0,2013-01-07 20:22:00,2,1,0
8974,0,Control 1,2181,49,1000,115.0,70.0,2013-01-07 21:24:00,2,1,0
5935,1,Treatment 0,3057,1515,3914,258.0,220.0,2013-01-07 21:42:00,2,1,0
5936,0,Control 0,8176,10,1270,416.0,400.0,2013-01-07 23:04:00,2,1,0
8975,1,Treatment 0,3060,782,804,694.0,625.0,2013-01-07 23:53:00,2,1,0
8976,1,Treatment 1,1806,3055,3369,177.0,220.0,2013-01-08 02:23:00,2,1,1
2971,0,Control 0,8671,2428,4387,492.0,400.0,2013-01-08 04:55:00,2,1,1
5937,1,Treatment 0,4700,3035,2742,256.0,220.0,2013-01-08 04:55:00,2,1,1
8977,1,Treatment 1,4722,1276,1063,189.0,220.0,2013-01-08 05:12:00,2,1,1
2973,1,Treatment 1,7267,2375,4027,194.0,220.0,2013-01-08 06:21:00,2,1,1
5938,0,Control 1,6592,648,269,651.0,625.0,2013-01-08 11:19:00,2,1,1
2702,0,Control 0,2033,430,3336,0.0,0.0,2013-01-08 11:45:00,2,1,1
5939,1,Treatment 0,6941,2397,1394,351.0,400.0,2013-01-08 12:11:00,2,1,1
31,0,Control 1,8744,356,2767,518.0,625.0,2013-01-08 17:14:00,2,1,1
32,1,Treatment 0,7529,1714,2611,467.0,400.0,2013-01-08 18:53:00,2,1,1
8978,0,Control 0,3544,1864,4339,355.0,400.0,2013-01-08 20:30:00,2,1,1
5940,1,Treatment 0,5278,1977,3342,331.0,400.0,2013-01-08 22:38:00,2,1,1
5941,1,Treatment 1,7581,134,600,174.0,220.0,2013-01-08 23:40:00,2,1,1
33,1,Treatment 1,8171,2222,3786,242.0,220.0,2013-01-09 01:23:00,2,1,2
8980,0,Control 0,6836,3626,3722,109.0,70.0,2013-01-09 03:48:00,2,1,2
35,0,Control 0,7163,1853,3032,280.0,220.0,2013-01-09 03:52:00,2,1,2
2974,0,Control 0,8532,52,841,105.0,70.0,2013-01-09 04:31:00,2,1,2
5942,0,Control 1,1732,2101,3384,627.0,625.0,2013-01-09 17:41:00,2,1,2
2975,1,Treatment 0,3724,982,1152,200.0,220.0,2013-01-09 17:41:00,2,1,2
5944,0,Control 1,8416,49,1000,37.0,70.0,2013-01-09 18:35:00,2,1,2
8710,0,Control 0,1998,937,152,0.0,0.0,2013-01-09 19:28:00,2,1,2
5945,0,Control 1,8840,733,2832,308.0,400.0,2013-01-09 19:34:00,2,1,2
5946,0,Control 1,2616,3245,3198,95.0,70.0,2013-01-09 19:55:00,2,1,2
5947,1,Treatment 0,7003,1120,3534,526.0,625.0,2013-01-09 22:34:00,2,1,2
8982,0,Control 1,6446,1975,1456,281.0,220.0,2013-01-09 23:16:00,2,1,2
8983,0,Control 1,1613,3486,2916,23.0,70.0,2013-01-10 00:28:00,2,1,3
5948,1,Treatment 1,8890,372,3334,221.0,220.0,2013-01-10 00:41:00,2,1,3
5949,1,Treatment 1,4621,2414,1303,537.0,625.0,2013-01-10 00:51:00,2,1,3
5950,0,Control 0,7842,905,978,432.0,400.0,2013-01-10 02:01:00,2,1,3
8984,1,Treatment 0,8042,2180,1231,142.0,140.0,2013-01-10 02:33:00,2,1,3
5951,1,Treatment 1,1427,784,1309,268.0,220.0,2013-01-10 03:26:00,2,1,3
2977,1,Treatment 0,7851,2546,662,1226.0,1500.0,2013-01-10 04:15:00,2,1,3
8985,0,Control 1,205,1674,248,87.0,70.0,2013-01-10 05:56:00,2,1,3
36,0,Control 0,2867,3367,832,198.0,220.0,2013-01-10 08:03:00,2,1,3
2705,0,Control 1,5598,234,632,0.0,0.0,2013-01-10 08:50:00,2,1,3
5952,0,Control 1,5981,1345,1548,567.0,625.0,2013-01-10 11:07:00,2,1,3
37,0,Control 0,8773,2494,4070,175.0,220.0,2013-01-10 13:29:00,2,1,3
5953,1,Treatment 0,4615,802,1679,312.0,400.0,2013-01-10 16:12:00,2,1,3
8986,0,Control 1,2563,2306,3140,371.0,400.0,2013-01-10 18:03:00,2,1,3
5954,0,Control 1,6831,2069,188,355.0,400.0,2013-01-10 19:59:00,2,1,3
5955,1,Treatment 0,6336,1697,4255,453.0,400.0,2013-01-10 20:55:00,2,1,3
5956,0,Control 1,6147,1756,954,423.0,400.0,2013-01-10 21:19:00,2,1,3
2978,0,Control 1,800,948,4065,155.0,220.0,2013-01-10 21:34:00,2,1,3
8987,0,Control 0,7295,1444,1872,256.0,220.0,2013-01-10 23:28:00,2,1,3
38,1,Treatment 0,2217,1992,1928,1380.0,1500.0,2013-01-10 23:37:00,2,1,3
5957,0,Control 0,5574,1086,1411,208.0,220.0,2013-01-11 00:09:00,2,1,4
5958,1,Treatment 1,7552,1142,3940,406.0,400.0,2013-01-11 01:29:00,2,1,4
2979,1,Treatment 0,7191,1520,3271,319.0,400.0,2013-01-11 01:29:00,2,1,4
8988,0,Control 0,5670,2397,1394,311.0,400.0,2013-01-11 02:04:00,2,1,4
8989,1,Treatment 0,8821,2572,3500,482.0,400.0,2013-01-11 03:27:00,2,1,4
2980,0,Control 1,7227,218,1453,250.0,220.0,2013-01-11 04:01:00,2,1,4
39,0,Control 0,7724,1396,2521,289.0,220.0,2013-01-11 07:09:00,2,1,4
2981,1,Treatment 1,1919,2733,1353,529.0,625.0,2013-01-11 07:48:00,2,1,4
2982,0,Control 0,4820,314,3616,335.0,400.0,2013-01-11 10:12:00,2,1,4
2983,0,Control 0,1993,3211,2863,79.0,70.0,2013-01-11 12:37:00,2,1,4
40,0,Control 1,2233,44,3154,334.0,400.0,2013-01-11 14:36:00,2,1,4
5652,0,Control 1,382,1605,3714,0.0,0.0,2013-01-11 14:42:00,2,1,4
41,0,Control 0,6725,1043,2184,623.0,625.0,2013-01-11 16:12:00,2,1,4
8990,1,Treatment 0,6304,3303,2435,334.0,400.0,2013-01-11 17:32:00,2,1,4
42,1,Treatment 0,2034,3085,4358,178.0,220.0,2013-01-11 18:07:00,2,1,4
43,1,Treatment 0,1706,1317,2519,209.0,220.0,2013-01-11 18:30:00,2,1,4
44,1,Treatment 0,4587,671,1451,190.0,220.0,2013-01-11 19:11:00,2,1,4
5959,0,Control 1,6586,2291,4064,419.0,400.0,2013-01-11 19:51:00,2,1,4
2985,1,Treatment 1,9003,561,2522,253.0,220.0,2013-01-11 20:24:00,2,1,4
8991,1,Treatment 1,8383,2349,1103,534.0,625.0,2013-01-11 20:28:00,2,1,4
5960,0,Control 1,4108,484,4180,481.0,400.0,2013-01-11 21:44:00,2,1,4
5961,0,Control 0,236,1360,3355,707.0,625.0,2013-01-11 23:07:00,2,1,4
8993,1,Treatment 1,5009,3503,3508,270.0,220.0,2013-01-12 00:33:00,2,1,5
5962,0,Control 1,8342,1738,3913,360.0,400.0,2013-01-12 03:09:00,2,1,5
8994,0,Control 1,2186,1030,2424,432.0,400.0,2013-01-12 05:53:00,2,1,5
46,0,Control 0,861,2793,2472,545.0,625.0,2013-01-12 06:48:00,2,1,5
5963,1,Treatment 0,1050,1146,830,805.0,875.0,2013-01-12 08:45:00,2,1,5
2987,0,Control 1,6159,3245,3198,357.0,400.0,2013-01-12 09:36:00,2,1,5
47,1,Treatment 0,9086,2682,1443,560.0,625.0,2013-01-12 12:16:00,2,1,5
5964,1,Treatment 1,5095,3503,3508,301.0,400.0,2013-01-12 12:28:00,2,1,5
48,0,Control 1,454,2918,1975,539.0,625.0,2013-01-12 14:23:00,2,1,5
2989,1,Treatment 0,7877,52,2257,433.0,400.0,2013-01-12 14:58:00,2,1,5
2990,0,Control 1,1223,2712,1680,133.0,70.0,2013-01-12 16:40:00,2,1,5
2991,1,Treatment 0,2281,1753,1613,269.0,220.0,2013-01-12 16:41:00,2,1,5
8995,1,Treatment 1,6689,1276,1671,246.0,220.0,2013-01-12 16:43:00,2,1,5
2992,0,Control 1,5962,72,3867,219.0,220.0,2013-01-12 17:05:00,2,1,5
8996,1,Treatment 0,4597,2905,4005,410.0,400.0,2013-01-12 17:13:00,2,1,5
2993,1,Treatment 1,8656,3041,2380,169.0,220.0,2013-01-12 20:34:00,2,1,5
49,0,Control 0,8101,362,2097,419.0,400.0,2013-01-12 21:52:00,2,1,5
5965,1,Treatment 0,3226,3177,3196,296.0,220.0,2013-01-13 00:16:00,2,1,6
50,1,Treatment 0,7922,2306,955,619.0,625.0,2013-01-13 00:52:00,2,1,6
51,0,Control 0,4781,3028,2412,738.0,625.0,2013-01-13 00:55:00,2,1,6
8997,0,Control 0,3640,982,1382,674.0,625.0,2013-01-13 01:39:00,2,1,6
2994,0,Control 1,424,3074,1294,279.0,220.0,2013-01-13 01:46:00,2,1,6
8711,1,Treatment 1,7712,1970,1059,150.0,220.0,2013-01-13 02:38:00,2,1,6
52,0,Control 1,471,3276,2820,268.0,220.0,2013-01-13 05:43:00,2,1,6
53,1,Treatment 0,3155,599,3907,237.0,220.0,2013-01-13 06:06:00,2,1,6
2995,0,Control 0,2977,2446,3638,464.0,400.0,2013-01-13 11:54:00,2,1,6
2996,1,Treatment 0,564,3085,4358,366.0,400.0,2013-01-13 13:48:00,2,1,6
54,1,Treatment 1,8806,2436,1156,489.0,400.0,2013-01-13 15:55:00,2,1,6
5966,0,Control 1,1224,3182,1465,201.0,220.0,2013-01-13 16:00:00,2,1,6
8998,1,Treatment 0,7051,2202,3889,340.0,400.0,2013-01-13 16:58:00,2,1,6
55,1,Treatment 1,3782,2905,3780,838.0,875.0,2013-01-13 17:46:00,2,1,6
5967,0,Control 1,4452,1722,1539,330.0,400.0,2013-01-13 18:19:00,2,1,6
5968,0,Control 0,6397,50,1626,930.0,875.0,2013-01-13 19:25:00,2,1,6
5969,1,Treatment 0,4898,2450,274,712.0,625.0,2013-01-13 19:38:00,2,1,6
2997,0,Control 0,3097,2768,1957,577.0,625.0,2013-01-13 20:59:00,2,1,6
8999,0,Control 0,4953,1134,3467,331.0,400.0,2013-01-13 21:21:00,2,1,6
56,0,Control 0,213,1616,2048,252.0,220.0,2013-01-13 21:25:00,2,1,6
5970,0,Control 0,5864,1741,3663,377.0,400.0,2013-01-13 21:50:00,2,1,6
9000,1,Treatment 0,5918,3041,4191,341.0,400.0,2013-01-13 22:34:00,2,1,6
57,0,Control 0,3833,2837,2545,481.0,400.0,2013-01-13 23:30:00,2,1,6
5971,0,Control 0,156,2899,1292,362.0,400.0,2013-01-14 00:49:00,3,1,0
8712,1,Treatment 0,361,951,2251,140.0,140.0,2013-01-14 01:04:00,3,1,0
8713,1,Treatment 1,6750,2036,2046,199.0,220.0,2013-01-14 01:30:00,3,1,0
9001,0,Control 0,6270,2780,3178,389.0,400.0,2013-01-14 01:37:00,3,1,0
2998,0,Control 0,4285,3041,2380,257.0,220.0,2013-01-14 02:02:00,3,1,0
2999,0,Control 1,4707,3375,3734,470.0,400.0,2013-01-14 03:11:00,3,1,0
58,0,Control 0,7265,1591,3995,314.0,400.0,2013-01-14 04:34:00,3,1,0
59,1,Treatment 0,332,2412,4212,594.0,625.0,2013-01-14 06:53:00,3,1,0
60,0,Control 0,2738,3077,1584,377.0,400.0,2013-01-14 14:15:00,3,1,0
3000,1,Treatment 0,7249,781,2446,286.0,220.0,2013-01-14 15:55:00,3,1,0
5972,0,Control 0,8826,3085,4358,310.0,400.0,2013-01-14 16:04:00,3,1,0
9002,1,Treatment 1,5731,2927,2692,387.0,400.0,2013-01-14 19:05:00,3,1,0
3001,0,Control 1,119,2960,3761,250.0,220.0,2013-01-14 19:14:00,3,1,0
9003,0,Control 0,7977,934,683,576.0,625.0,2013-01-14 23:19:00,3,1,0
5974,1,Treatment 1,3762,2933,4377,370.0,400.0,2013-01-14 23:54:00,3,1,0
5975,0,Control 0,7501,2861,3284,124.0,70.0,2013-01-15 01:15:00,3,1,1
62,1,Treatment 0,4069,3579,28,396.0,400.0,2013-01-15 03:07:00,3,1,1
63,0,Control 0,2449,249,2065,1550.0,1500.0,2013-01-15 03:25:00,3,1,1
5976,1,Treatment 0,5295,766,4342,228.0,220.0,2013-01-15 05:07:00,3,1,1
3002,1,Treatment 0,6257,1143,92,2542.0,1500.0,2013-01-15 06:03:00,3,1,1
5977,1,Treatment 0,4,150,3595,204.0,220.0,2013-01-15 07:00:00,3,1,1
9004,1,Treatment 0,210,1615,432,345.0,400.0,2013-01-15 08:31:00,3,1,1
3003,1,Treatment 0,1049,3488,2953,672.0,625.0,2013-01-15 08:59:00,3,1,1
65,1,Treatment 1,7446,2523,1965,152.0,220.0,2013-01-15 15:02:00,3,1,1
9005,1,Treatment 0,699,3240,3942,346.0,400.0,2013-01-15 16:18:00,3,1,1
5978,0,Control 0,1738,356,2767,359.0,400.0,2013-01-15 16:24:00,3,1,1
66,0,Control 0,7649,828,892,643.0,625.0,2013-01-15 17:13:00,3,1,1
9006,1,Treatment 0,5737,3321,97,268.0,220.0,2013-01-15 17:28:00,3,1,1
9007,0,Control 0,9090,2403,3044,306.0,400.0,2013-01-15 17:33:00,3,1,1
9008,1,Treatment 0,304,371,884,729.0,625.0,2013-01-15 18:15:00,3,1,1
9009,1,Treatment 1,2647,1724,3437,144.0,140.0,2013-01-15 18:38:00,3,1,1
3004,0,Control 0,4839,365,1483,393.0,400.0,2013-01-15 19:58:00,3,1,1
5653,1,Treatment 1,3433,1928,699,140.0,140.0,2013-01-15 22:03:00,3,1,1
9010,0,Control 0,2135,1928,2907,503.0,625.0,2013-01-15 22:52:00,3,1,1
68,0,Control 0,6179,2870,2196,664.0,625.0,2013-01-16 00:23:00,3,1,2
9011,0,Control 0,7457,2565,1482,248.0,220.0,2013-01-16 00:41:00,3,1,2
5979,1,Treatment 0,7387,2446,3638,829.0,875.0,2013-01-16 02:54:00,3,1,2
3005,1,Treatment 0,5609,367,1712,183.0,220.0,2013-01-16 02:54:00,3,1,2
69,0,Control 1,8930,1359,2505,222.0,220.0,2013-01-16 05:23:00,3,1,2
3007,1,Treatment 0,8444,789,1890,169.0,220.0,2013-01-16 06:06:00,3,1,2
5980,1,Treatment 0,4516,804,721,517.0,625.0,2013-01-16 06:13:00,3,1,2
5981,0,Control 0,8255,3367,832,430.0,400.0,2013-01-16 06:19:00,3,1,2
5982,0,Control 1,4749,607,769,374.0,400.0,2013-01-16 09:06:00,3,1,2
5983,1,Treatment 0,3034,2748,410,999.0,875.0,2013-01-16 18:24:00,3,1,2
70,1,Treatment 0,8245,208,1894,272.0,220.0,2013-01-16 18:34:00,3,1,2
71,0,Control 0,7100,442,2547,209.0,220.0,2013-01-16 18:39:00,3,1,2
3008,0,Control 1,3934,3488,2953,342.0,400.0,2013-01-16 19:00:00,3,1,2
5984,0,Control 0,7525,1721,3470,201.0,220.0,2013-01-16 20:40:00,3,1,2
3009,0,Control 0,4618,3085,4358,175.0,220.0,2013-01-16 20:49:00,3,1,2
3010,0,Control 1,8267,1716,1405,278.0,220.0,2013-01-16 22:23:00,3,1,2
72,0,Control 1,8940,1796,3238,199.0,220.0,2013-01-17 01:38:00,3,1,3
5985,1,Treatment 1,5229,1276,257,521.0,625.0,2013-01-17 01:49:00,3,1,3
9012,0,Control 1,5296,911,3561,251.0,220.0,2013-01-17 01:54:00,3,1,3
73,1,Treatment 1,1695,882,2014,427.0,400.0,2013-01-17 02:52:00,3,1,3
3011,1,Treatment 0,8579,882,2014,406.0,400.0,2013-01-17 03:06:00,3,1,3
9013,1,Treatment 1,8966,1795,1934,294.0,220.0,2013-01-17 03:30:00,3,1,3
3012,1,Treatment 0,8996,1582,3732,303.0,400.0,2013-01-17 04:35:00,3,1,3
9014,1,Treatment 0,8768,2585,1658,154.0,220.0,2013-01-17 05:21:00,3,1,3
9015,1,Treatment 1,5899,2059,2402,245.0,220.0,2013-01-17 06:17:00,3,1,3
2706,0,Control 1,1879,1347,4130,0.0,0.0,2013-01-17 07:21:00,3,1,3
5986,1,Treatment 0,5988,44,3154,151.0,220.0,2013-01-17 12:19:00,3,1,3
5654,0,Control 1,8835,2523,121,0.0,0.0,2013-01-17 12:38:00,3,1,3
3013,0,Control 0,1528,723,2569,567.0,625.0,2013-01-17 16:53:00,3,1,3
5987,1,Treatment 0,3597,599,2768,275.0,220.0,2013-01-17 18:19:00,3,1,3
74,1,Treatment 0,4872,391,2657,285.0,220.0,2013-01-17 18:28:00,3,1,3
75,1,Treatment 1,323,447,1705,230.0,220.0,2013-01-17 20:11:00,3,1,3
5655,1,Treatment 1,1012,1756,954,160.0,220.0,2013-01-17 20:30:00,3,1,3
76,1,Treatment 1,272,329,2006,198.0,220.0,2013-01-17 21:44:00,3,1,3
77,0,Control 0,3599,2461,1643,77.0,70.0,2013-01-18 01:45:00,3,1,4
78,0,Control 0,3973,802,1679,252.0,220.0,2013-01-18 01:55:00,3,1,4
79,0,Control 0,1102,1418,2550,409.0,400.0,2013-01-18 02:02:00,3,1,4
2707,0,Control 1,3727,2222,3786,0.0,0.0,2013-01-18 02:30:00,3,1,4
3015,1,Treatment 0,152,1396,2521,213.0,220.0,2013-01-18 03:08:00,3,1,4
9016,1,Treatment 0,6278,3107,3990,1020.0,1500.0,2013-01-18 03:18:00,3,1,4
9018,1,Treatment 0,4982,3595,1258,272.0,220.0,2013-01-18 03:33:00,3,1,4
5989,0,Control 1,648,3502,4075,197.0,220.0,2013-01-18 05:57:00,3,1,4
9019,0,Control 0,878,12,1555,904.0,875.0,2013-01-18 07:14:00,3,1,4
3016,1,Treatment 0,4015,1135,343,320.0,400.0,2013-01-18 12:01:00,3,1,4
3017,0,Control 1,7491,652,1144,591.0,625.0,2013-01-18 17:00:00,3,1,4
5990,1,Treatment 1,7141,261,585,302.0,400.0,2013-01-18 17:25:00,3,1,4
80,0,Control 1,358,1813,2714,223.0,220.0,2013-01-18 17:53:00,3,1,4
5991,1,Treatment 0,5487,691,3981,595.0,625.0,2013-01-18 17:56:00,3,1,4
5656,0,Control 0,7496,135,3377,0.0,-50.0,2013-01-18 18:15:00,3,1,4
5992,1,Treatment 0,4903,3041,4191,585.0,625.0,2013-01-18 18:15:00,3,1,4
3018,1,Treatment 1,3792,3345,3935,301.0,400.0,2013-01-18 19:30:00,3,1,4
8714,0,Control 1,258,1756,954,0.0,0.0,2013-01-18 20:29:00,3,1,4
9021,0,Control 1,1288,1366,791,553.0,625.0,2013-01-18 20:34:00,3,1,4
3019,0,Control 1,8809,360,648,1003.0,1500.0,2013-01-18 23:08:00,3,1,4
81,0,Control 1,8048,2841,361,182.0,220.0,2013-01-18 23:33:00,3,1,4
9022,0,Control 1,6788,1821,1414,215.0,220.0,2013-01-19 00:09:00,3,1,5
5657,1,Treatment 1,6341,2833,2659,140.0,140.0,2013-01-19 00:23:00,3,1,5
9023,1,Treatment 1,3269,2387,4169,383.0,400.0,2013-01-19 00:43:00,3,1,5
5994,1,Treatment 1,2295,2916,406,1374.0,1500.0,2013-01-19 02:57:00,3,1,5
83,1,Treatment 1,2625,1467,2347,577.0,625.0,2013-01-19 04:12:00,3,1,5
84,0,Control 0,2716,1936,688,331.0,400.0,2013-01-19 04:23:00,3,1,5
3021,0,Control 1,1205,882,2014,373.0,400.0,2013-01-19 08:48:00,3,1,5
5995,1,Treatment 1,4102,843,3809,723.0,625.0,2013-01-19 12:40:00,3,1,5
3022,0,Control 0,5058,1431,1015,378.0,400.0,2013-01-19 15:29:00,3,1,5
9024,1,Treatment 0,4269,2291,4064,288.0,220.0,2013-01-19 15:37:00,3,1,5
3023,0,Control 0,2215,2705,3002,186.0,220.0,2013-01-19 16:33:00,3,1,5
9025,1,Treatment 1,5311,2413,2977,316.0,400.0,2013-01-19 18:06:00,3,1,5
3024,1,Treatment 1,2077,2375,4027,574.0,625.0,2013-01-19 18:37:00,3,1,5
