,id_guest,id_host,id_listing,ts_interaction_first,m_first_message_length,ab,acceptance,message_length_level
0,8839,974,4424,2013-01-01 23:04:00,230.0,1,0,23.0
8955,1930,2654,1962,2013-01-01 23:35:00,149.0,1,0,14.0
8958,2850,2895,2752,2013-01-02 06:23:00,380.0,1,0,38.0
2954,4000,2915,3217,2013-01-02 06:49:00,513.0,1,1,51.0
6,1533,2425,469,2013-01-02 13:42:00,144.0,1,0,14.0
2955,6222,2378,3777,2013-01-02 14:52:00,464.0,1,1,46.0
9,6920,2862,1979,2013-01-02 19:56:00,390.0,1,0,39.0
10,4419,1950,1855,2013-01-02 21:21:00,205.0,1,1,20.0
12,5684,73,1881,2013-01-02 22:15:00,365.0,1,1,36.0
2957,5201,709,2116,2013-01-03 00:12:00,241.0,1,0,24.0
8961,5861,2050,2685,2013-01-03 02:32:00,530.0,1,0,53.0
5918,1927,2905,4005,2013-01-03 10:36:00,239.0,1,1,23.0
5920,5175,733,1363,2013-01-03 16:40:00,410.0,1,1,41.0
17,8449,2322,2205,2013-01-03 21:12:00,201.0,1,1,20.0
5646,2521,544,1950,2013-01-03 22:01:00,150.0,1,1,15.0
8964,2511,2306,1800,2013-01-03 23:14:00,768.0,1,1,76.0
2958,4002,1884,3241,2013-01-04 00:10:00,672.0,1,0,67.0
20,2585,1128,3983,2013-01-04 03:39:00,345.0,1,1,34.0
5921,6995,2358,2252,2013-01-04 05:00:00,332.0,1,0,33.0
2960,1091,1325,3874,2013-01-04 06:37:00,334.0,1,1,33.0
2961,1509,1679,1168,2013-01-04 07:29:00,727.0,1,0,72.0
5922,348,109,715,2013-01-04 07:53:00,302.0,1,0,30.0
21,348,367,1712,2013-01-04 08:04:00,302.0,1,0,30.0
5647,2060,2281,1985,2013-01-04 17:49:00,160.0,1,0,16.0
5925,4677,2892,2392,2013-01-04 19:56:00,215.0,1,0,21.0
5926,9073,1886,181,2013-01-04 20:10:00,273.0,1,0,27.0
8706,3128,479,2406,2013-01-04 21:48:00,140.0,1,1,14.0
22,5514,209,942,2013-01-05 00:07:00,272.0,1,1,27.0
8707,2119,133,1691,2013-01-05 09:18:00,140.0,1,1,14.0
23,446,1756,954,2013-01-05 16:17:00,401.0,1,0,40.0
24,8050,3658,3959,2013-01-05 17:40:00,354.0,1,0,35.0
5648,2254,782,804,2013-01-05 18:31:00,140.0,1,0,14.0
25,2269,1273,1223,2013-01-05 18:31:00,501.0,1,0,50.0
8969,5400,158,814,2013-01-05 19:56:00,351.0,1,1,35.0
5928,841,372,3334,2013-01-05 22:45:00,261.0,1,0,26.0
5929,4106,2143,2761,2013-01-06 04:38:00,307.0,1,0,30.0
5930,408,3488,2953,2013-01-06 04:58:00,317.0,1,0,31.0
2969,6311,819,4238,2013-01-06 19:59:00,240.0,1,0,24.0
28,1034,2203,4172,2013-01-06 20:35:00,392.0,1,1,39.0
8970,189,3430,1399,2013-01-07 03:06:00,306.0,1,1,30.0
29,389,2599,2679,2013-01-07 05:20:00,328.0,1,1,32.0
5933,5496,142,1689,2013-01-07 14:11:00,319.0,1,0,31.0
8709,4144,1713,1899,2013-01-07 17:52:00,140.0,1,1,14.0
5934,197,771,4305,2013-01-07 20:22:00,597.0,1,1,59.0
5935,3057,1515,3914,2013-01-07 21:42:00,258.0,1,0,25.0
8975,3060,782,804,2013-01-07 23:53:00,694.0,1,0,69.0
8976,1806,3055,3369,2013-01-08 02:23:00,177.0,1,1,17.0
5937,4700,3035,2742,2013-01-08 04:55:00,256.0,1,0,25.0
2972,4700,3427,1904,2013-01-08 05:07:00,287.0,1,1,28.0
8977,4722,1276,1063,2013-01-08 05:12:00,189.0,1,1,18.0
2973,7267,2375,4027,2013-01-08 06:21:00,194.0,1,1,19.0
5939,6941,2397,1394,2013-01-08 12:11:00,351.0,1,0,35.0
32,7529,1714,2611,2013-01-08 18:53:00,467.0,1,0,46.0
5940,5278,1977,3342,2013-01-08 22:38:00,331.0,1,0,33.0
5941,7581,134,600,2013-01-08 23:40:00,174.0,1,1,17.0
33,8171,2222,3786,2013-01-09 01:23:00,242.0,1,1,24.0
34,8171,74,1031,2013-01-09 01:24:00,242.0,1,0,24.0
2975,3724,982,1152,2013-01-09 17:41:00,200.0,1,0,20.0
5947,7003,1120,3534,2013-01-09 22:34:00,526.0,1,0,52.0
5948,8890,372,3334,2013-01-10 00:41:00,221.0,1,1,22.0
5949,4621,2414,1303,2013-01-10 00:51:00,537.0,1,1,53.0
8984,8042,2180,1231,2013-01-10 02:33:00,142.0,1,0,14.0
5951,1427,784,1309,2013-01-10 03:26:00,268.0,1,1,26.0
2977,7851,2546,662,2013-01-10 04:15:00,1226.0,1,0,122.0
5953,4615,802,1679,2013-01-10 16:12:00,312.0,1,0,31.0
5955,6336,1697,4255,2013-01-10 20:55:00,453.0,1,0,45.0
38,2217,1992,1928,2013-01-10 23:37:00,1380.0,1,0,138.0
5958,7552,1142,3940,2013-01-11 01:29:00,406.0,1,1,40.0
2979,7191,1520,3271,2013-01-11 01:29:00,319.0,1,0,31.0
8989,8821,2572,3500,2013-01-11 03:27:00,482.0,1,0,48.0
2981,1919,2733,1353,2013-01-11 07:48:00,529.0,1,1,52.0
8990,6304,3303,2435,2013-01-11 17:32:00,334.0,1,0,33.0
42,2034,3085,4358,2013-01-11 18:07:00,178.0,1,0,17.0
43,1706,1317,2519,2013-01-11 18:30:00,209.0,1,0,20.0
44,4587,671,1451,2013-01-11 19:11:00,190.0,1,0,19.0
2985,9003,561,2522,2013-01-11 20:24:00,253.0,1,1,25.0
